trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.66, 'e': 0.26499999999999935}",30,9,-30.300468573849443,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
108,False,"{'a': 0.66, 'e': 0.25999999999999934}",30,0,-82.45988840765034,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
109,False,"{'a': 0.66, 'e': 0.25499999999999934}",20,0,32.23757624720023,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.66, 'e': 0.24999999999999933}",20,4,24.582519376869293,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.66, 'e': 0.24499999999999933}",20,11,5.3389686956322295,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.66, 'e': 0.23999999999999932}",30,0,45.90348680719443,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.66, 'e': 0.23499999999999932}",25,6,29.55888886257107,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.66, 'e': 0.22999999999999932}",35,0,-22.911436346620302,"{0: 30, 1: 1, 2: 2, 3: 2, 4: 0}",0
115,False,"{'a': 0.66, 'e': 0.2249999999999993}",25,7,8.430102746345007,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.66, 'e': 0.2199999999999993}",30,10,14.842588488406752,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.66, 'e': 0.2149999999999993}",25,0,39.21667682395545,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.66, 'e': 0.2099999999999993}",25,0,33.987110871808866,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.66, 'e': 0.2049999999999993}",30,0,-34.87412333252041,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
